# omp v18.1.8 596f2da7101178214aa27a753529d15e6b7ad91d
path	bytes	lines	role	surface
crates/pi-edit/tests/fixtures/apply_patch/scenarios/008_rejects_empty_update_hunk/patch.txt	55	3	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/009_requires_existing_file_for_update/expected/foo.txt	7	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/009_requires_existing_file_for_update/input/foo.txt	7	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/009_requires_existing_file_for_update/patch.txt	72	6	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/010_move_rejects_existing_destination/expected/old/name.txt	5	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/010_move_rejects_existing_destination/expected/old/other.txt	15	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/010_move_rejects_existing_destination/expected/renamed/dir/name.txt	9	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/010_move_rejects_existing_destination/input/old/name.txt	5	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/010_move_rejects_existing_destination/input/old/other.txt	15	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/010_move_rejects_existing_destination/input/renamed/dir/name.txt	9	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/010_move_rejects_existing_destination/patch.txt	108	7	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/011_add_rejects_existing_file/expected/duplicate.txt	12	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/011_add_rejects_existing_file/input/duplicate.txt	12	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/011_add_rejects_existing_file/patch.txt	71	4	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/012_delete_directory_fails/expected/dir/foo.txt	7	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/012_delete_directory_fails/input/dir/foo.txt	7	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/012_delete_directory_fails/patch.txt	51	3	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/013_rejects_invalid_hunk_header/expected/foo.txt	7	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/013_rejects_invalid_hunk_header/input/foo.txt	7	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/013_rejects_invalid_hunk_header/patch.txt	55	3	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/014_update_file_appends_trailing_newline/expected/no_newline.txt	23	2	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/014_update_file_appends_trailing_newline/input/no_newline.txt	18	1	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/014_update_file_appends_trailing_newline/patch.txt	109	7	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/016_pure_addition_update_chunk/expected/input.txt	38	4	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/016_pure_addition_update_chunk/input/input.txt	12	2	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/016_pure_addition_update_chunk/patch.txt	88	6	test	CRATE-PI-EDIT
crates/pi-edit/tests/fixtures/apply_patch/scenarios/017_whitespace_padded_hunk_header/expected/foo.txt	4	1	test	CRATE-PI-EDIT
